Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,Energystar Climate Zone 2023,Generation And Emissions Assessment Region,Ground Thermal Conductivity,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Metropolitan and Micropolitan Statistical Area,County Metro Status,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Radiant Barrier,Range Spot Vent Hour,Sampling Region,State,Census Division,Census Division RECS,Census Region,Custom State,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,HVAC Secondary Heating Fuel,HVAC Secondary Heating Type,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Cooling Autosizing Factor,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Geometry Space Combination,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Misc Well Pump,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Electric Vehicle Charger,Electric Vehicle Outlet Access,Heating Unavailable Days,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,State Metro Median Income,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Water Heater Location,Window Areas,Windows
206,5A,Hour21,"G4200030, G42001804",No,None,In another census Place,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",11000,Northern,PJM East,1.1,No,No,No Exterior Use,Uninsulated,PJM,Light Curtains,100% Usage,100% Usage,None,"Pittsburgh, PA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"PA, 01804",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback -3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",115,No,Hour9,30,PA,Middle Atlantic,Middle Atlantic,Northeast,Others,100% LED,CR07,101%,Low,80% Usage,80% Usage,80% Usage,80% Usage,70% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,None,None,None,0%,1940-59,Vented Crawlspace,Central AC,72F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,"Single-Family Detached, Vented Crawlspace, No Attic, No Garage",Crawlspace,"10% Leakage to Outside, Uninsulated",<8,Brick,None,100% Conditioned,25 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",None,"Brick, 12-in, 3-wythe, Uninsulated",None,3,120-150%,400%+,Yes,Electric,EnergyStar,Electric Resistance,Never,EnergyStar,100%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,120-150%,Natural Gas,Natural Gas Standard,Yes,Living Space,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
207,4A,Hour9,"G2900950, G29001001",No,None,"MO, Kansas City","MO, Jackson County",Non-CBSA West North Central,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 300 mile range",3000,North-Central,SPP South,1.1,No,No,No Exterior Use,Uninsulated,SPP,Light Curtains,100% Usage,100% Usage,None,"Kansas City, MO-KS MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"MO, 01001",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback -2h,Not Applicable,Left/Right at 15ft,"In metro area, principal city",54,No,Hour15,13,MO,West North Central,West North Central,Midwest,Others,100% Incandescent,CR08,95%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Unheated Basement,Central AC,70F,None,"AC, SEER2 14.3",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,72F,No,0F,None,200000+,140000+,150000+,3000-3999,4,2500-3999,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Unheated Basement, Vented Attic, No Garage",Unheated Basement,"10% Leakage to Outside, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,20 ACH50,R-30,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",Typical Efficiency,2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,EnergyStar,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Metal, Dark",150%+,Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F9 B9 L9 R9,"Single, Clear, Non-metal"
208,7AK,Hour3,"G0200200, G02000102",No,None,"AK, Anchorage","AK, Anchorage Municipality",Non-CBSA Pacific,7AK,Very Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",7000,Northern,None,1.4,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Anchorage, AK MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,"AK, 00102",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",None,No,Hour21,1,AK,Pacific,Pacific,West,AK,100% LED,CRAK,94%,Low,80% Usage,80% Usage,80% Usage,80% Usage,70% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1970s,Natural Gas,Non-Ducted Heating,None,None,None,0%,1960-79,Heated Basement,None,72F,None,None,None,No,"Fuel Boiler, 76% AFUE",No,None,Natural Gas Fuel Boiler,None,None,None,None,None,70F,No,0F,None,200000+,140000+,150000+,2000-2499,2,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage",None,None,<8,Brick,None,None,5 ACH50,R-49,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, R-11",None,2,150%+,400%+,Yes,Electric,Standard,Gas,Never,Standard,60-79%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Tile, Concrete",150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
209,4A,Hour2,"G3700010, G37001600",No,None,Not in a census Place,"NC, Alamance County",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",11000,North-Central,SERTP,1.7,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Burlington, NC MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,"NC, 01600",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback -3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",98,No,Hour14,9,NC,South Atlantic,South Atlantic,South,Others,100% LED,CR09,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,None,None,None,0%,2000-09,Slab,Central AC,70F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,6F,Night,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"20% Leakage to Outside, R-8",<8,Wood Frame,"Vinyl, Light",100% Conditioned,7 ACH50,R-38,None,None,None,"Unfinished, Uninsulated","2ft R10 Under, Horizontal","Wood Stud, R-11",None,3,150%+,300-400%,Yes,Electric,EnergyStar,Electric Resistance,3 days,Standard,80-99%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Living Space,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
210,6A,Hour4,"G2300310, G23000800",No,None,Not in a census Place,"ME, York County",Non-CBSA New England,6A,Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",17000,Northern,ISONE,1.4,No,No,No Exterior Use,Uninsulated,NEISO,Light Curtains,100% Usage,100% Usage,None,"Portland-South Portland, ME MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,"ME, 00800",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",134,No,Hour20,24,ME,New England,New England,Northeast,Others,100% LED,CR03,99%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,110% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Fuel Oil,Non-Ducted Heating,None,None,None,0%,<1940,Heated Basement,Room AC,70F,None,"Room AC, CEER 10.6",None,No,"Fuel Boiler, 80% AFUE",No,None,Fuel Oil Fuel Boiler,None,None,None,None,None,70F,No,0F,None,60000-69999,60000-79999,60000-99999,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,"Single-Family Detached, Heated Basement, No Attic, No Garage",None,None,<8,Brick,"Wood, Medium/Dark",<10% Conditioned,15 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-7",None,"Brick, 12-in, 3-wythe, Uninsulated",Typical Efficiency,2,100-120%,300-400%,Yes,Electric,EnergyStar,Electric Resistance,Never,None,100%,No,None,No,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",100-120%,Electricity,Electric Standard,Yes,Heated Basement,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
211,3A,Hour5,"G1300210, G13001400",No,None,"GA, Macon","GA, Bibb County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",9000,South-Central,SERTP,1.4,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Macon, GA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,"GA, 01400",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",94,No,Hour19,8,GA,South Atlantic,South Atlantic,South,Others,100% Incandescent,CR09,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,None,None,None,0%,1940-59,Slab,Central AC,76F,None,"AC, SEER2 9.5",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,65F,No,0F,None,<10000,<20000,<20000,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Slab, Vented Attic, No Garage",Attic,"20% Leakage to Outside, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,25 ACH50,Uninsulated,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",Typical Efficiency,1,0-30%,0-100%,Yes,Electric,Standard,Electric Resistance,Never,None,100%,No,None,No,Never,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",0-30%,Natural Gas,Natural Gas Premium,Yes,Living Space,F12 B12 L12 R12,"Single, Clear, Non-metal"
212,5A,Hour6,"G2600930, G26002800",No,None,Not in a census Place,"MI, Livingston County","CBSA Detroit-Warren-Dearborn, MI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",3000,Northern,MISO Central,0.8,No,No,No Exterior Use,Uninsulated,MISO,Light Curtains,100% Usage,100% Usage,None,"Detroit-Warren-Dearborn, MI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"MI, 02800",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",103,No,Hour16,19,MI,East North Central,East North Central,Midwest,Others,100% LED,CR04,85%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1990s,Natural Gas,Ducted Heating,None,None,None,0%,1980-99,Unheated Basement,Central AC,65F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,200000+,140000+,150000+,3000-3999,5,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Unheated Basement, Vented Attic, 2 Car Garage",Unheated Basement,"20% Leakage to Outside, Uninsulated",<8,Brick,None,100% Conditioned,10 ACH50,R-30,Ceiling R-13,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, R-11",Typical Efficiency,4,150%+,400%+,Yes,Gas,Standard,Electric Resistance,Never,Standard,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
213,5A,Hour23,"G4400070, G44000102",No,None,"RI, Pawtucket","RI, Providence County",Non-CBSA New England,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",9000,Northern,ISONE,1.4,No,No,No Exterior Use,Uninsulated,NEISO,Light Curtains,100% Usage,100% Usage,None,"Providence-Warwick, RI-MA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,"RI, 00102",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",133,No,Hour15,47,RI,New England,New England,Northeast,Others,100% LED,CR03,99%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,None,None,None,0%,1940-59,Heated Basement,Room AC,60F,None,"Room AC, CEER 11.9",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,3F,Night +4h,80000-99999,80000-99999,60000-99999,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,1 Car,"Single-Family Detached, Heated Basement, Vented Attic, 1 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",20% Conditioned,30 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",None,2,120-150%,400%+,Yes,Electric,EnergyStar,Gas,Never,Standard,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,120-150%,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F12 B12 L12 R12,"Double, Clear, Metal, Air"
214,5A,Hour18,"G2500270, G25000300",No,None,"MA, Worcester","MA, Worcester County",Non-CBSA New England,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",5000,Northern,ISONE,1.4,No,No,No Exterior Use,Uninsulated,NEISO,Light Curtains,100% Usage,100% Usage,None,"Worcester, MA-CT MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,"MA, 00300",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",131,No,Hour8,10,MA,New England,New England,Northeast,Others,100% LED,CR03,99%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Unheated Basement,Room AC,68F,None,"Room AC, CEER 11.9",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,3F,Night +3h,80000-99999,80000-99999,60000-99999,1500-1999,4,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,"Single-Family Detached, Unheated Basement, No Attic, No Garage",Unheated Basement,"30% Leakage to Outside, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",20% Conditioned,15 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-19",None,"Wood Stud, Uninsulated",None,2,100-120%,400%+,Yes,Electric,EnergyStar,Gas,Never,Standard,100%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,120-150%,Natural Gas,Natural Gas Premium,Yes,Unheated Basement,F12 B12 L12 R12,"Single, Clear, Non-metal"
215,7A,Hour6,"G2701370, G27000400",No,None,Not in a census Place,"MN, St. Louis County",Non-CBSA West North Central,7A,Very Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",13000,Northern,MISO North,1.1,No,No,No Exterior Use,Uninsulated,MISO,Light Curtains,100% Usage,100% Usage,None,"Duluth, MN-WI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"MN, 00400",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,43,No,Hour23,23,MN,West North Central,West North Central,Midwest,Others,100% Incandescent,CR02,95%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,3F,Night +5h,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Unheated Basement, Vented Attic, No Garage",Unheated Basement,"20% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",80% Conditioned,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-7",None,2,150%+,400%+,Yes,Gas,EnergyStar,Gas,Never,Standard,100%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",150%+,Natural Gas,Natural Gas Premium,Yes,Unheated Basement,F9 B9 L9 R9,"Double, Clear, Metal, Air"
216,3B,Hour19,"G0600650, G06006515",No,15,In another census Place,"CA, Riverside County","CBSA Riverside-San Bernardino-Ontario, CA",3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",11000,South-Central,CAISO,1.1,No,No,No Exterior Use,Uninsulated,CAISO,Light Curtains,100% Usage,100% Usage,None,"Riverside-San Bernardino-Ontario, CA MSA",Metropolitan,Gas Fireplace,None,None,"Cooling Season, 7 days/wk",South,"CA, 06515",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",10,No,Hour17,109,CA,Pacific,Pacific,West,Others,100% CFL,CR11,94%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,110% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,None,None,None,0%,2000-09,Vented Crawlspace,Central AC,78F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,200000+,140000+,150000+,2500-2999,3,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,3 Car,"Single-Family Detached, Vented Crawlspace, Vented Attic, 3 Car Garage",Crawlspace,"30% Leakage to Outside, R-6",<8,Wood Frame,"Stucco, Light",100% Conditioned,5 ACH50,R-30,Ceiling R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-11",None,2,150%+,400%+,Yes,Electric,EnergyStar,Gas,Never,Standard,100%,No,None,No,Never,No,None,None,None,None,None,None,EF 15.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
217,6A,Hour1,"G5500250, G55000102",No,None,In another census Place,"WI, Dane County",Non-CBSA East North Central,6A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",7000,Northern,MISO North,1.4,No,No,No Exterior Use,Uninsulated,MISO,Light Curtains,100% Usage,100% Usage,None,"Madison, WI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",South,"WI, 00102",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",78,No,Hour19,26,WI,East North Central,East North Central,Midwest,Others,100% LED,CR02,85%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1990s,Natural Gas,Ducted Heating,None,None,None,0%,1980-99,Heated Basement,Central AC,70F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,6F,Night +5h,100000-119999,100000-119999,100000-149999,2000-2499,2,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,"Single-Family Detached, Heated Basement, No Attic, 2 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,15 ACH50,None,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Finished, R-19",None,"Wood Stud, R-19",Typical Efficiency,2,120-150%,400%+,Yes,Electric,Standard,Electric Resistance,Never,Standard,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",120-150%,Natural Gas,Natural Gas Premium,Yes,Heated Basement,F15 B15 L15 R15,"Double, Clear, Non-metal, Air"
218,2A,Hour21,"G1200990, G12009903",No,None,"FL, West Palm Beach","FL, Palm Beach County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL","2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",1000,Southern,FRCC,1.1,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,"FL, 09903",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +5h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",102,No,Hour17,5,FL,South Atlantic,South Atlantic,South,Others,100% LED,CR09,106%,Low,80% Usage,80% Usage,80% Usage,80% Usage,80% Usage,50%,95% Usage,Occupied,None,No,None,None,None,Owner,1950s,Electricity,Ducted Heat Pump,None,None,None,0%,1940-59,Vented Crawlspace,Ducted Heat Pump,75F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER2 14.3, 7.4 HSPF2",No,None,Electricity ASHP,None,None,None,None,None,68F,No,0F,None,100000-119999,100000-119999,100000-149999,1500-1999,4,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",Crawlspace,"20% Leakage to Outside, Uninsulated",<8,Brick,None,100% Conditioned,20 ACH50,R-13,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, Uninsulated",None,2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,EnergyStar,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,150%+,Electricity,Electric Standard,Yes,Outside,F9 B9 L9 R9,"Single, Clear, Metal"
